BBDD;Variable;Dest;Name;ES;BE;DE;FR;IT;NL;SE;UK;US
Main;;;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo
Main;ID;;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid
Main;age;;age;age_rc;profile_julesage;profile_julesage;profile_julesage;age_rc;profile_julesage;profile_julesage;profile_julesage;age
Main;gender;;gender;gender;gender;gender;gender;gender;gender;gender;profile_gender;gender
Main;residence_region;;region;Nielsen_Area_ES_MR;GeoPC_Region1_be;nielsenregion;Grouped_Region_2014;region_grouped_IT;GeoPC_Region1_nl;region;profile_GOR;region
Main;income;;income;income_es_rc;UB_income_BE;hinc;income;profile_gross_household_EU;profile_gross_household_EU;household_income;profile_gross_household;profile_gross_household
Main;income_level;;income_level;income_hml_es;income_hml_be;income_hml_de;income_hml_fr;income_hml_it;income_hml_nl;income_hml_se;income_hml_uk;income_hml_us
Main;aided;;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb
Main;current_own;;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb
Main;ever_own;;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb
Main;consider;;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb
Main;inmarket;;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb
Respostes_regions;;5;value_6;value_6;value_6;value_6;value_6;value_6;value_6;value_6;value_6;value_6
Respostes_regions;;6;value_7;value_7;value_7;value_7;value_7;value_7;value_7;value_7;value_7;value_7
Respostes_regions;;7;value_8;value_8;value_8;value_8;value_8;value_8;value_8;value_8;value_8;value_8
Respostes_regions;;8;value_9;value_9;value_9;value_9;value_9;value_9;value_9;value_9;value_9;value_9
Respostes_regions;;9;value_10;value_10;value_10;value_10;value_10;value_10;value_10;value_10;value_10;value_10
Respostes_regions;;10;value_11;value_11;value_11;value_11;value_11;value_11;value_11;value_11;value_11;value_11
Respostes_regions;;11;value_12;value_12;value_12;value_12;value_12;value_12;value_12;value_12;value_12;value_12
Respostes_regions;;12;value_13;value_13;value_13;value_13;value_13;value_13;value_13;value_13;value_13;value_13
Respostes_regions;;13;value_14;value_14;value_14;value_14;value_14;value_14;value_14;value_14;value_14;value_14
Respostes_regions;;14;value_15;value_15;value_15;value_15;value_15;value_15;value_15;value_15;value_15;value_15
Respostes_regions;;15;value_16;value_16;value_16;value_16;value_16;value_16;value_16;value_16;value_16;value_16
Respostes_regions;;16;value_17;value_17;value_17;value_17;value_17;value_17;value_17;value_17;value_17;value_17
Respostes_regions;;17;value_18;value_18;value_18;value_18;value_18;value_18;value_18;value_18;value_18;value_18
Respostes_regions;;18;value_19;value_19;value_19;value_19;value_19;value_19;value_19;value_19;value_19;value_19
Respostes_regions;;19;value_20;value_20;value_20;value_20;value_20;value_20;value_20;value_20;value_20;value_20
Respostes_regions;;20;value_21;value_21;value_21;value_21;value_21;value_21;value_21;value_21;value_21;value_21
Respostes_regions;;21;value_22;value_22;value_22;value_22;value_22;value_22;value_22;value_22;value_22;value_22
Respostes_regions;;22;value_23;value_23;value_23;value_23;value_23;value_23;value_23;value_23;value_23;
Respostes_regions;;23;value_24;value_24;value_24;value_24;value_24;value_24;value_24;value_24;value_24;
Respostes_regions;;0;rep_1;rep_1;rep_1;rep_1;rep_1;rep_1;rep_1;rep_1;rep_1;rep_1
Respostes_regions;;1;rep_2;rep_2;rep_2;rep_2;rep_2;rep_2;rep_2;rep_2;rep_2;rep_2
Respostes_regions;;2;rep_3;rep_3;rep_3;rep_3;rep_3;rep_3;rep_3;rep_3;rep_3;rep_3
Respostes_regions;;3;rep_4;rep_4;rep_4;rep_4;rep_4;rep_4;rep_4;rep_4;rep_4;rep_4
Respostes_regions;;4;rep_5;rep_5;rep_5;rep_5;rep_5;rep_5;rep_5;rep_5;rep_5;rep_5
Respostes_regions;;5;rep_6;rep_6;rep_6;rep_6;rep_6;rep_6;rep_6;rep_6;rep_6;rep_6
Respostes_regions;;6;rep_7;rep_7;rep_7;rep_7;rep_7;rep_7;rep_7;rep_7;rep_7;rep_7
Respostes_regions;;7;rep_8;rep_8;rep_8;rep_8;rep_8;rep_8;rep_8;rep_8;rep_8;rep_8
Respostes_regions;;8;rep_9;rep_9;rep_9;rep_9;rep_9;rep_9;rep_9;rep_9;rep_9;rep_9
Respostes_regions;;9;rep_10;rep_10;rep_10;rep_10;rep_10;rep_10;rep_10;rep_10;rep_10;rep_10
Respostes_regions;;10;rep_11;rep_11;rep_11;rep_11;rep_11;rep_11;rep_11;rep_11;rep_11;rep_11
Respostes_regions;;11;rep_12;rep_12;rep_12;rep_12;rep_12;rep_12;rep_12;rep_12;rep_12;rep_12
Respostes_regions;;12;rep_13;rep_13;rep_13;rep_13;rep_13;rep_13;rep_13;rep_13;rep_13;rep_13
Respostes_regions;;13;rep_14;rep_14;rep_14;rep_14;rep_14;rep_14;rep_14;rep_14;rep_14;rep_14
Respostes_regions;;14;rep_15;rep_15;rep_15;rep_15;rep_15;rep_15;rep_15;rep_15;rep_15;rep_15
Respostes_regions;;15;rep_16;rep_16;rep_16;rep_16;rep_16;rep_16;rep_16;rep_16;rep_16;rep_16
Respostes_regions;;16;rep_17;rep_17;rep_17;rep_17;rep_17;rep_17;rep_17;rep_17;rep_17;rep_17
Respostes_regions;;17;rep_18;rep_18;rep_18;rep_18;rep_18;rep_18;rep_18;rep_18;rep_18;rep_18
Respostes_regions;;18;rep_19;rep_19;rep_19;rep_19;rep_19;rep_19;rep_19;rep_19;rep_19;rep_19
Respostes_regions;;19;rep_20;rep_20;rep_20;rep_20;rep_20;rep_20;rep_20;rep_20;rep_20;rep_20
Respostes_regions;;20;rep_21;rep_21;rep_21;rep_21;rep_21;rep_21;rep_21;rep_21;rep_21;rep_21
Respostes_regions;;21;rep_22;rep_22;rep_22;rep_22;rep_22;rep_22;rep_22;rep_22;rep_22;rep_22
Respostes_regions;;22;rep_23;rep_23;rep_23;rep_23;rep_23;rep_23;rep_23;rep_23;rep_23;
Respostes_regions;;23;rep_24;rep_24;rep_24;rep_24;rep_24;rep_24;rep_24;rep_24;rep_24;
Respostes_regions;;0;sat_1;sat_1;sat_1;sat_1;sat_1;sat_1;sat_1;sat_1;sat_1;sat_1
Respostes_regions;;1;sat_2;sat_2;sat_2;sat_2;sat_2;sat_2;sat_2;sat_2;sat_2;sat_2
Respostes_regions;;2;sat_3;sat_3;sat_3;sat_3;sat_3;sat_3;sat_3;sat_3;sat_3;sat_3
Respostes_regions;;3;sat_4;sat_4;sat_4;sat_4;sat_4;sat_4;sat_4;sat_4;sat_4;sat_4
Respostes_regions;;4;sat_5;sat_5;sat_5;sat_5;sat_5;sat_5;sat_5;sat_5;sat_5;sat_5
Respostes_regions;;5;sat_6;sat_6;sat_6;sat_6;sat_6;sat_6;sat_6;sat_6;sat_6;sat_6
Respostes_regions;;6;sat_7;sat_7;sat_7;sat_7;sat_7;sat_7;sat_7;sat_7;sat_7;sat_7
Respostes_regions;;7;sat_8;sat_8;sat_8;sat_8;sat_8;sat_8;sat_8;sat_8;sat_8;sat_8
Respostes_regions;;8;sat_9;sat_9;sat_9;sat_9;sat_9;sat_9;sat_9;sat_9;sat_9;sat_9
Respostes_regions;;9;sat_10;sat_10;sat_10;sat_10;sat_10;sat_10;sat_10;sat_10;sat_10;sat_10
Respostes_regions;;10;sat_11;sat_11;sat_11;sat_11;sat_11;sat_11;sat_11;sat_11;sat_11;sat_11
Respostes_regions;;11;sat_12;sat_12;sat_12;sat_12;sat_12;sat_12;sat_12;sat_12;sat_12;sat_12
Respostes_regions;;12;sat_13;sat_13;sat_13;sat_13;sat_13;sat_13;sat_13;sat_13;sat_13;sat_13
